1, throttle, -1, -1
2, throttle, 5, 12:42:35.999
3, throttle, 6, 12:42:53.073
4, throttle, -1, -1
5, throttle, 510, 12:42:24.463
6, throttle, 10, 12:43:04.478
7, throttle, 4, 12:42:41.669
8, throttle, 15, 12:42:58.765
9, throttle, 511, 12:42:30.351
10, throttle, 11, 12:43:10.171
11, throttle, 5, 12:42:47.367
12, throttle, 10, 12:43:21.535
13, throttle, 6, 12:43:32.920
14, throttle, 464, 12:44:01.597
15, throttle, 7, 12:43:44.280
16, throttle, 6, 12:43:15.848
17, throttle, 290, 12:43:55.980
18, throttle, 4, 12:43:27.221
19, throttle, 4, 12:43:38.546
20, throttle, 3, 12:43:49.976
21, throttle, 523, 12:44:07.263
22, throttle, 521, 12:44:12.872
23, throttle, 521, 12:44:18.566
24, throttle, 584, 12:44:24.279
25, throttle, 3, 12:44:29.983
26, throttle, 5, 12:44:35.644
27, throttle, 7, 12:44:41.343
28, throttle, 2, 12:44:47.027
1, rpm, -1, -1
2, rpm, -1, -1
3, rpm, -1, -1
4, rpm, -1, -1
5, rpm, -1, -1
6, rpm, -1, -1
7, rpm, -1, -1
8, rpm, -1, -1
9, rpm, -1, -1
10, rpm, -1, -1
11, rpm, -1, -1
12, rpm, -1, -1
13, rpm, -1, -1
14, rpm, -1, -1
15, rpm, -1, -1
16, rpm, -1, -1
17, rpm, -1, -1
18, rpm, -1, -1
19, rpm, -1, -1
20, rpm, -1, -1
21, rpm, -1, -1
22, rpm, -1, -1
23, rpm, -1, -1
24, rpm, -1, -1
25, rpm, -1, -1
26, rpm, -1, -1
27, rpm, -1, -1
28, rpm, -1, -1
29, rpm, -1, -1
1, Current, 4.4, 12:42:24.463
2, Current, 4.4, 12:42:53.073
3, Current, 3.8, 12:42:58.765
4, Current, 2.8, 12:42:30.351
5, Current, 1.0, 12:42:41.669
6, Current, 3.6, 12:43:04.478
7, Current, 12.0, 12:42:35.999
8, Current, 3.57, 12:42:47.367
9, Current, 4.29, 12:43:15.848
10, Current, 5.36, 12:43:27.221
11, Current, 5.24, 12:43:10.171
12, Current, 3.57, 12:43:21.535
13, Current, 6554.0, 12:43:32.920
14, Current, 3.93, 12:43:38.546
15, Current, 3.69, 12:43:44.280
16, Current, 4.05, 12:44:01.597
17, Current, 3.69, 12:43:49.976
18, Current, -4.4, 12:43:55.980
19, Current, 131.0, 12:44:07.263
20, Current, 2.5, 12:44:12.872
21, Current, 2.74, 12:44:18.566
22, Current, 3.45, 12:44:24.279
23, Current, 131084.0, 12:44:29.983
24, Current, 131083.0, 12:44:35.644
25, Current, 131084.0, 12:44:41.343
26, Current, 131083.0, 12:44:47.027
